episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,episode_co2,co2_per_veh,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
59,250,GAT-DQN,0.7251449411764705,0.5397590361445783,17700,300.0,9,0.001,0.99,-0.7151050887548732,15.52787037037037,472,57.87923728813559,96539186.98190783,204532.17580912675,300.0,0.3958524888008833,0.0,0.0,0.0,0.0
60,250,GAT-DQN,0.7204861176470588,0.5421686746987953,18000,300.0,9,0.001,0.99,-0.7111508159245075,14.711481481481481,507,58.20315581854043,96005360.14980869,189359.6847136266,300.0,0.40004282765090465,0.0,0.0,0.0,0.0
61,250,GAT-DQN,0.7158272941176471,0.5445783132530121,18300,300.0,9,0.001,0.99,-0.6293296261139845,15.485555555555553,389,49.53213367609254,84959499.52538802,218404.88309868384,300.0,0.4304079006612301,0.0,0.0,0.0,0.0
62,250,GAT-DQN,0.7111684705882353,0.5469879518072289,18600,300.0,9,0.001,0.99,-0.7111239206735261,16.441851851851855,447,56.66442953020134,96001729.29092616,214768.969330931,300.0,0.4361775051057339,0.0,0.0,0.0,0.0
63,250,GAT-DQN,0.7065096470588235,0.5493975903614458,18900,300.0,9,0.001,0.99,-0.8545873892756191,20.114444444444448,461,56.093275488069416,115369297.55220866,250258.7799397151,300.0,0.43257566226025423,0.0,0.0,0.0,0.0
64,250,GAT-DQN,0.7018508235294117,0.5518072289156627,19200,300.0,9,0.001,0.99,-0.7337514397841874,14.528518518518522,515,58.20776699029126,99056444.37086537,192342.6104288648,300.0,0.4723885700106621,0.0,0.0,0.0,0.0
65,250,GAT-DQN,0.697192,0.5542168674698795,19500,300.0,9,0.001,0.99,-0.7852091180306247,16.630185185185187,494,58.68218623481781,106003230.93413429,214581.43913792368,300.0,0.3645218013972044,0.0,0.0,0.0,0.0
66,250,GAT-DQN,0.6925331764705882,0.5566265060240965,19800,300.0,9,0.001,0.99,-0.7777726248895609,16.159537037037037,511,57.18199608610568,104999304.36009075,205478.09072424803,300.0,0.4189141318450371,0.0,0.0,0.0,0.0
67,250,GAT-DQN,0.6878743529411765,0.5590361445783133,20100,300.0,9,0.001,0.99,-0.7480653998585975,18.298796296296295,483,63.21739130434783,100988828.98091064,209086.60244494956,300.0,0.4556781969964504,0.0,0.0,0.0,0.0
68,250,GAT-DQN,0.6832155294117648,0.5614457831325301,20400,300.0,9,0.001,0.99,-0.8280215573284937,20.056388888888886,394,53.545685279187815,111782910.23934661,283712.9701506259,300.0,0.46232363636295,0.0,0.0,0.0,0.0
69,250,GAT-DQN,0.678556705882353,0.5638554216867471,20700,300.0,9,0.001,0.99,-0.7483383990211004,15.536296296296296,487,57.93223819301848,101025683.86784849,207444.93607361085,300.0,0.5003988304982583,0.0,0.0,0.0,0.0
70,250,GAT-DQN,0.6738978823529411,0.5662650602409639,21000,300.0,9,0.001,0.99,-0.6671381731283853,14.745185185185186,534,58.60112359550562,90063653.37233202,168658.52691447944,300.0,0.42093843730787434,0.0,0.0,0.0,0.0
71,250,GAT-DQN,0.6692390588235295,0.5686746987951807,21300,300.0,9,0.001,0.99,-0.8629345251239551,21.718518518518515,414,54.0,116496160.89173384,281391.6929752025,300.0,0.40025813430547713,0.0,0.0,0.0,0.0
